ID,MinReqsText,RecReqsText
550,Minimum:OS: Ubuntu 12.04Processor: Dual core from Intel or AMD at 2.8 GHzMemory: 2 GB RAMGraphics: nVidia GeForce 8600/9600GT ATI/AMD Radeon HD2600/3600 (Graphic Drivers: nVidia 310 AMD 12.11) OpenGL 2.1Storage: 13 GB available spaceSound Card: OpenAL Compatible Sound Card,
570,Minimum:OS: Ubuntu 12.04Processor: Dual core from Intel or AMD at 2.8 GHzMemory: 4 GB RAMGraphics: nVidia Geforce 8600/9600GT (Driver v331) AMD HD 2xxx-4xxx (Driver mesa 10.5.9) AMD HD 5xxx+ (Driver mesa 10.5.9 or Catalyst 15.7) Intel HD 3000 (Driver mesa 10.6)Network: Broadband Internet connectionStorage: 15 GB available spaceSound Card: OpenAL Compatible Sound Card,
620,Minimum:OS: Ubuntu 12.04Processor: Dual core from Intel or AMD at 2.8 GHzMemory: 2 GB RAMGraphics: nVidia GeForce 8600/9600GT ATI/AMD Radeon HD2600/3600 (Graphic Drivers: nVidia 310 AMD 12.11) OpenGL 2.1Storage: 8 GB available spaceSound Card: OpenAL Compatible Sound Card,
730,Minimum:OS: Ubuntu 12.04Processor: 64-bit Dual core from Intel or AMD at 2.8 GHzMemory: 4 GB RAMGraphics: nVidia GeForce 8600/9600GT ATI/AMD Radeon HD2600/3600 (Graphic Drivers: nVidia 310 AMD 12.11) OpenGL 2.1Storage: 8 GB available spaceSound Card: OpenAL Compatible Sound Card,
1200,Minimum:OS: Ubuntu 12.04 LTS fully updatedProcessor: 1.2 GHZ or EquivalentMemory: 512 MB RAMGraphics: Nvidia ATI or Intel GPU with hardware-accelerated drivers Hard Drive: 2 GB free hard drive space,Recommended:OS: Ubuntu 12.04 LTS fully updatedProcessor: 2.4 GHZGraphics: Nvidia ATI or Intel GPU with hardware-accelerated drivers Hard Drive: 2 GB free hard drive space
1250,Minimum:OS:  Ubuntu 12.04 LTS fully updatedProcessor:  1.2 GHZ or EquivalentMemory:  1 GB RAMGraphics:  Nvidia ATI or Intel GPU with hardware-accelerated drivers Hard Drive:  2 GB free hard drive space,Recommended:OS: Ubuntu 12.04 LTS fully updatedProcessor:  2.4 GHZ or EquivalentMemory:  2 GB RAMGraphics:  Nvidia ATI or Intel GPU with hardware-accelerated drivers Hard Drive:  2 GB free hard drive space
1500,Processor: 1.66Ghz                 Memory: 1Gb                 Graphics: 64Mb of memory                 Hard Drive: 60Mb,
1510,,
1520,Processor: 1.8 Ghz                Memory:  1Gb                Graphics:  64Mb of memory                Hard Drive:  70Mb,
1900,Minimum: Ubuntu 12.04 LTS or SteamOSIntel/AMD Single Core CPU with 2.0 GHz1 GB RAMDirectX 9.0 compatible graphics card with 128 MB RAMDirectX compatible sound card2.0 GB free disk spaceBroad band Internet connectionKeyboard and Mouse,Recommended: Ubuntu 12.04 LTS or SteamOSIntel/AMD Core Duo CPU with 2.0 GHz2 GB RAMGraphics Card with Shader 2.0 support and 256 MBDirectX compatible sound card2.5 GB free disk spaceBroad band Internet connectionKeyboard and Mouse
1930,Minimum:OS: Ubuntu 12.04.5 LTS or SteamOSProcessor: Dual Core CPU 2.0 GHz Memory: 1 GB Graphics: GeForce FX 6 7 and 8 series AMD/ATI Radeon X-series with Shader 2.0b supportHard Drive: 6 GB Free SpaceSound: DirectX 9.0c compatibleMisc: Keyboard Mouse Broadband Internet Connection,Recommended:OS: Ubuntu 15.10 or SteamOSProcessor: Intel/AMD Multicore CPUMemory: 2 GBGraphics: with Per-Pixel-Shader 3.0 supportHard Drive: 7 GB Free SpaceSound: 5.1Misc: Keyboard Mouse Broadband Internet Connection
2810,Minimum:OS: Ubuntu 12.04 LTSProcessor: Pentium(r) IV or AMD(r) equivalent at 2.0 GHzMemory: 1 GB RAMGraphics: 256MB OpenGL 2.0+ discrete NVIDIA/AMD card (with proprietary driver) or Intel Core i7-2620M with Mesa 9.0Hard Drive: 10 GB of free space,Recommended:OS: Ubuntu 12.04 LTSProcessor: Intel(r) Core(tm) 2 Duo or AMD(r) equivalent at 2.0 GHzMemory: 3 GB RAMGraphics: 512MB OpenGL 3.0+ discrete NVIDIA/AMD card (with proprietary driver)Hard Drive: 10 GB of free space
2820,Minimum:OS: Ubuntu 12.04 LTSProcessor: Pentium(r) IV or AMD(r) equivalent at 2.0 GHzMemory: 1 GB RAMGraphics: 256MB OpenGL 2.0+ discrete NVIDIA/AMD card (with proprietary driver) or Intel Core i7-2620M with Mesa 9.0Hard Drive: 10GB of free space,Recommended:OS: Ubuntu 12.04 LTSProcessor: Intel(r) Core(tm) 2 Duo or AMD(r) equivalent at 2.0 GHzMemory: 3 GB RAMGraphics: 512MB OpenGL 3.0+ discrete NVIDIA/AMD card (with proprietary driver)Hard Drive: 10GB of free space
2870,Minimum:OS: SteamOS (64-bit) or Ubuntu 14.04 (64-bit)Processor: Intel i-Series at 2GHz or AMD equivalentMemory: 8 GB RAMGraphics: Vendor proprietary drivers Nvidia GT500 series with 1GB RAM or better ATI 5870HD with 1GB RAM or betterStorage: 8 GB available spaceSound Card: OpenAL Soft compatibleAdditional Notes: OpenGL version 4.2,Recommended:OS: SteamOS (64-bit) or Ubuntu 14.04 (64-bit)Processor: Intel i5 (Quad) or i7 at 2.5GHz or AMD equivalentMemory: 12 GB RAMGraphics: Vendor proprietary drivers Nvidia GT600 series with 1GB RAM or better ATI 6850HD with 1GB RAM or betterStorage: 12 GB available spaceSound Card: OpenAL Soft compatibleAdditional Notes: OpenGL version 4.2
3830,,
4000,Minimum:OS: Ubuntu 12.04Processor: 1.8 GHz ProcessorMemory: 2 GB RAMGraphics: 512MBNetwork: Broadband Internet connectionStorage: 5 GB available spaceAdditional Notes: Mouse Keyboard Monitor,Recommended:Processor: 2.5 GHz Processor or betterMemory: 8 GB RAMGraphics: 1GB dedicated VRAM or betterNetwork: Broadband Internet connectionStorage: 10 GB available space
4700,OS: Ubuntu 14.04 Steam OS 2.0 (NVIDIA & Intel Only)Graphics Card:Nvidia 600 series+ with Driver Version 352.55AMD R7 with Mesa 11.2 driver*Intel Iris Pro with Mesa 11.2 driver**IMPORTANT: AMD GPUS may require Ubuntu 15.10 or later. Mesa 11.2 driver still in active development.,OS: Ubuntu 15.10Steam OS 2.0 (NVIDIA & Intel Only)Graphics Card:Nvidia 700 series+ with Driver Version 352.55AMD R9 with Mesa 11.2 driver**IMPORTANT: AMD GPUS may require Ubuntu 15.10 or later. Mesa 11.2 driver still in active development.
4780,OS: Ubuntu 14.04 Steam OS 2.0 (NVIDIA & Intel Only)Graphics Card:Nvidia 600 series+ with Driver Version 352.55AMD R7 with Mesa 11.2 driver*Intel Iris Pro with Mesa 11.2 driver**IMPORTANT: AMD GPUS may require Ubuntu 15.10 or later. Mesa 11.2 driver still in active development.,OS: Ubuntu 15.10Steam OS 2.0 (NVIDIA & Intel Only)Graphics Card:Nvidia 700 series+ with Driver Version 352.55AMD R9 with Mesa 11.2 driver**IMPORTANT: AMD GPUS may require Ubuntu 15.10 or later. Mesa 11.2 driver still in active development.
4920,,
6120,Minimum:Processor: Intel Pentium 4 running at 1.7 GHz or Greater; Athlon 64 running at 1.7GHz or greater with support for SSE2 instructionsMemory: 1.5 GB or moreGraphics: ATI Radeon X1800 GTO 256MB and the Nvidia GeForce 6800 Ultra 256MB cards or betterHard Drive: 2 GB HD space,
8870,Minimum:OS: Ubuntu 14.10 Mint 17.1 or similar Linux distributionProcessor: Intel Core 2 DUO 2.4 GHz / AMD Athlon X2 2.7 GHzMemory: 4GBHard Disk Space: 20 GB FreeVideo Card: NVidia/AMD OpenGL 4.1/DirectX 10.0 level compatibleVideo RAM: 1GBSound: ALSA/PulseAudio compatible,RecommendedProcessor: Intel Core i5 3GHz (or similar AMD processor)Memory: 8GBHard Disk Space: 30 GB FreeVideo Card: NVidia/AMD OpenGL 4.2/DirectX 10.1 level compatibleVideo RAM: 2GBRecommended Graphics DriversnVidia: NVidia 340.65 or better. 331.xx series are unsupported and will not work correctly.AMD: AMD Catalyst (aka fglrx) 15.7 or betterMESA drivers and Intel Graphics are not currently supported.
8930,Operating System: SteamOS UbuntuCPU Processor: Intel Core i3 AMD A10CPU Speed: 2.4GHz Memory: 4 GB RAM Hard Disk Space: 10 GB Video Card (ATI): Radeon HD 6450Video Card (NVidia): Geforce 640MVideo Card (Intel): Iris ProVideo Memory (VRam): 1GBIMPORTANT NOTICE: Dont meet the above requirements? Running on Ubuntu? That doesnt mean your configuration wont run Civ V it just means we have not tested and vetted your configuration. Visit the Civilization V community page to share your experience with other Linux players and learn about how to send bugs to Aspyr. Your feedback will help us improve Civ V Linux and future AAA Linux releases!NOTICE:  Intel Integrated video chipsets (GMA 9XX HD 3XXX) will not run Civilization V for SteamOS and Linux and are unsupported.[/list],
9480,Minimum:                    Supported OS:Ubuntu 14.04.3 LTS Ubuntu 15.04 Linux Mint 17.1 Steam OS Brewmaster                                           CPU:   Intel Core i5-4570T (2.9 GHz) or equivalent or AMD FX-4300 (3.8 GHz) or equivalent                 Memory: 4096 MB                     GPU: GeForce GTX 460 (1024 MB) or equivalent or Radeon HD 6850 (1024 MB) or equivalent           Recommended Graphics Drivers: Nvidia: 352 355 or 358 series driver / AMD: AMD Catalyst (fglrx) 15.9 or better. MESA drivers and Intel Graphics are not currently supported.                                           Hard Drive: Around 7 GB                       Disclaimer:  Due to issues surrounding the original engine some stuttering may be observed during gameplay. These types of streaming issues may be improved with faster HDD units.,Recommended:                    Supported OS:Ubuntu 14.04.3 LTS Ubuntu 15.04 Linux Mint 17.1 Steam OS Brewmaster                                           CPU:  Intel Core i5-4670K (3.4 GHz) or equivalent or AMD FX-8370 (4.0 GHz) or equivalent                Memory: 8192 MB                     GPU: GeForce GTX 760 (2048 MB) or equivalent or Radeon R9 285 (2048 MB) or equivalent     Recommended Graphics Drivers: Nvidia: 352 355 or 358 series driver / AMD: AMD Catalyst (fglrx) 15.9 or better. MESA drivers and Intel Graphics are not currently supported.                                                   Hard Drive: Around 7 GB                       Disclaimer:  Due to issues surrounding the original engine some stuttering may be observed during gameplay. These types of streaming issues may be improved with faster HDD units.
10500,Minimum:OS: Steam OS or Ubuntu 14.04.1 (64 bit required)Processor: 2GHzMemory: 4GB MemoryGraphics: 512MB*Hard Drive:18GB HD spaceOther Requirements: Nvidia 600 series+ AMD 6000 series+ Intel Iris Pro.  IMPORTANT: Requires 64bit OS to play.,Recommended:OS: Steam OS or Ubuntu 14.04.1 (64 bit required)Processor: 3 GHzMemory: 8GB MemoryGraphics: 1GB*Hard Drive: 18GB HD spaceOther Requirements: Nvidia 700 series+ AMD R7 series+ IMPORTANT: Requires 64bit OS to play.
11450,MINIMUMOS: Ubuntu 15.10 or similar Linux DistributionProcessor: Intel Pentium 4/Similar AMD processorMemory: 4GBHard Disk Space: 4.5 GB FreeVideo Card: NVidia/AMD OpenGL level 3.2 compatibleVideo RAM:512MbSound: ALSA/PulseAudio compatibleGTK 3Multiplayer is no longer availableRECOMMENDED GRAPHICS DRIVERSnVidia: NVidia 364.19 or better. 331 series are unsupported.AMD: AMD Catalyst (fglrx) 15.12 Crimson,
12710,MINIMUMOS: Ubuntu 15.10 or similar Linux DistributionProcessor: Intel Pentium 4/Similar AMD processorMemory: 4GBHard Disk Space: 4.5 GB FreeVideo Card: NVidia/AMD OpenGL level 3.2 compatibleVideo RAM:512MbSound: ALSA/PulseAudio compatibleGTK 3Multiplayer is no longer availableRECOMMENDED GRAPHICS DRIVERSnVidia: NVidia 364.19 or better. 331 series are unsupported.AMD: AMD Catalyst (fglrx) 15.12 Crimson,
12810,MINIMUMOS: Ubuntu 15.10 or similar Linux DistributionProcessor: Intel Pentium 4/Similar AMD processorMemory: 4GBHard Disk Space:5 GB FreeVideo Card: NVidia/AMD OpenGL level 3.2 compatibleVideo RAM:512MbSound: ALSA/PulseAudio compatibleGTK 3Multiplayer is no longer availableRECOMMENDED GRAPHICS DRIVERSnVidia: NVidia 364.19 or better. 331 series are unsupported.AMD: AMD Catalyst (fglrx) 15.12 Crimson,
15400,,
15560,OS: Ubuntu 12.04 or laterProcessor: Dual CoreMemory: 1GBHard Disk Space: 2GBVideo Card: Video card with 512mb of memory,
17570,Minimum:OS: Ubuntu 12.04Processor: Dual core from Intel or AMD at 2.8 GHzMemory: 1 GB RAMGraphics: nVidia GeForce 8600/9600GT ATI/AMD Radeon HD2600/3600 (Graphic Drivers: nVidia 310 AMD 12.11) OpenGL 2.1Network: Broadband Internet connectionStorage: 10 GB available spaceSound Card: OpenAL Compatible Sound CardAdditional Notes: Mouse Keyboard,
17710,OS: Ubuntu or Debian/Linux 12.04 or higherProcessor: Core 2 Duo 2.4 GhzMemory: 2GB RAMHard Disk Space: 6GB of free HDD spaceVideo Card: ATI Radeon HD 2400 / NVidia GeForce 8600M / Intel HD Graphics 3000,
18300,Processor: Intel Core 2 Duo 1.6GHz or faster AMD Phenom II or higher    Memory: 2 GB    Hard Disk Space: 1 GB                     Video Card: nVidia Geforce(r) 5600 or equivalent (must support Pixel Shader 2.0),
18700,,
20820,CPU: 2.0 GHzRAM: 512 MBGPU: OpenGL-compatible with 128 MB VRAM,
20920,Minimum:OS: Ubuntu 14.04 Linux Mint 17 Steam OSProcessor: Intel Core 2 DuoMemory: 4 GB RAMGraphics: GeForce 9800 GT 512MB (1280x720 low)Hard Drive: 25 GB HD space We recommend the following drivers:nVidia - nvidia binary driver 331.38 340.32 or later (343.13 beta has problems currently)AMD - fglrx binary driver 14.4 rev 2 or later. MESA based drivers (e.g. nouveau radeonsi) are not currently supported.Intel integrated graphics are not currently supported.,Recommended:OS: Ubuntu 14.04 Linux Mint 17 Steam OSProcessor: Quad Core IntelMemory: 4 GB RAMGraphics: GeForce GT 640 1GB (1440x900 medium)Hard Drive: 25 GB HD space
22000,Processor: 1 GHz or fasterMemory: 512 MB or moreGraphics: hardware accelerated OpenGL 1.4 supportHard drive: 100 MB free space,
22120,Minimum:OS: Linux Ubuntu 12.04 or newer 32-bit libraries must be installedProcessor: 2.0GhzMemory: 1024MBGraphics: Radeon 9600/GeForce 4 (GeForce4MX not supported Integrated graphics might not work.)Hard Drive: 2.0GB,
22140,,
22180,Minimum:OS: Linux Ubuntu 12.04 or newer 32-bit libraries must be installedProcessor: 2.0GhzMemory: 1024MBGraphics: Radeon 9600/GeForce 4 (GeForce4MX not supported Integrated graphics might not work.)Hard Drive: 2.0GB,
22600,OS: Major Linux Distributions from 2010Processor: 2Ghz+ CPU Memory: 1GB Graphics: OpenGL 2.1+ capable graphics cardHard Drive:  3GBOther Requirements: Internet connection required,
23600,Processor: 1.5 GHz processor (PowerPC or Intel)                Memory: 256 MB RAM                Hard Disk Space: 150 MB                                Video Card: GeForce 2 (or equivalent)                 Additional: DSL or better internet connection required for multiplayer,
24420,,
25000,Minimum:Processor: Passmark CPU 1000 or betterMemory: 2 GB RAMGraphics: Passmark GPU 200 or better with OpenGL 3.2 supportStorage: 7 GB available space,
25010,Minimum:OS: Ubuntu 12.04 or equivalentProcessor: 1GHz or fasterMemory: 512MB RAMGraphics: 128MB OpenGL compatible graphics cardHard Drive: 40MB space freeSound: Standard sound card,
25600,Minimum:OS: Ubuntu 12.04 LTSProcessor: 1.6GHzMemory: 256 MB RAMGraphics: 3D accelerated graphics card,
25620,Minimum:OS: Ubuntu 12.04Processor: 1.8Ghz or fasterMemory: 512 MBGraphics: Open GL 2.0 compatible video cardHard Drive: 400MB space free,
26500,,
26800,,
27020,Processor: 1.5 Ghz                    Memory: 256 MB                    Hard disk space: 50 MB                    Video Card: NVIDIA(r) GeForce(tm) or ATI(tm) Radeon(r) Video Card (no integrated graphics)                    Sound: Any sound,
29160,OS requirements:  glibc 2.15+ 32/64-bit. S3TC support is NOT required.Processor: Dual Core CPUMemory: 2 GB RAMHard Disk Space: 150 MBVideo Card: OpenGL 3.0+ support (2.1 with ARB extensions acceptable)Sound Card: 16-bit sound card,
29180,OS: Ubuntu 12.04 LTS fully updatedProcessor: 1 GHz or fasterMemory: 512 Mb or moreGraphics: Hardware accelerated OpenGL support. Minimum resolution 800x600Hard Drive: 40 Mb free space,
33600,,
33680,OS: Ubuntu 12.04 LTS Mint 13 LTS Fedora 16 fully updatedProcessor: Single core 1GHzMemory: 64MB or moreGraphics: 640 x 480 resolution or higherHard Drive: 20MB,
35480,Minimum:OS:  Ubuntu 12.04 LTS fully updatedProcessor:  1.2 GHZ or EquivalentMemory:  1 GB RAMGraphics:  Nvidia ATI or Intel GPU with hardware-accelerated drivers Hard Drive:  250MB free hard drive space,Recommended:OS: Ubuntu 12.04 LTS fully updatedProcessor:  2.4 GHZ or EquivalentMemory:  2 GB RAMGraphics:  Nvidia ATI or Intel GPU with hardware-accelerated drivers Hard Drive:  250MB free hard drive space
35700,SYSTEM REQUIREMENTS FOR TRINE ENCHANTED EDITION Minimum:OS: Ubuntu 12.04 LTSProcessor: 2.2 GHz CPUMemory: 1 GBGraphics: ATI Radeon HD 2400 or NVIDIA GeForce 7600 or betterHard Drive: 1.5 GBOpenGL: 2.1 SYSTEM REQUIREMENTS FOR TRINE Trine original hasnt been released on Steam only the Trine Enchanted Edition is released on Steam.,SYSTEM REQUIREMENTS FOR TRINE ENCHANTED EDITION Recommended:OS: Ubuntu 12.04 LTSProcessor: 2.2 GHz CPUMemory: 1 GBGraphics: ATI Radeon HD 2400 or NVIDIA GeForce 7600 or better (OpenGL 2.1 needs to be supported)Hard Drive: 1.5 GBOpenGL: 2.1Additional: Trine Enchanted Edition runs best with proprietary drivers and may not function correctly with open source drivers. SYSTEM REQUIREMENTS FOR TRINE Trine original hasnt been released on Steam only the Trine Enchanted Edition is released on Steam.
35720,Minimum:OS: Ubuntu 12.04 LTSProcessor: 2.2 GHz CPUMemory: 1 GBGraphics: ATI Radeon HD 2400 or NVIDIA GeForce 7600 or betterHard Drive: 4.0 GBOpenGL: 2.1,Recommended:OS: Ubuntu 12.04 LTSProcessor: 2.2 GHz CPUMemory: 1 GBGraphics: ATI Radeon HD 2400 or NVIDIA GeForce 7600 or better (OpenGL 2.1 needs to be supported)Hard Drive: 4.0 GBOpenGL: 2.1Additional: Trine 2 runs best with proprietary drivers and may not function correctly with open source drivers.
100,,
659,Minimum:OS: Ubuntu 12.04Processor: Dual core from Intel or AMD at 2.8 GHzMemory: 2 GB RAMGraphics: nVidia GeForce 8600/9600GT ATI/AMD Radeon HD2600/3600 (Graphic Drivers: nVidia 310 AMD 12.11) OpenGL 2.1Storage: 8 GB available spaceSound Card: OpenAL Compatible Sound Card,
4932,,
6129,Minimum:Processor: Intel Pentium 4 running at 1.7 GHz or Greater; Athlon 64 running at 1.7GHz or greater with support for SSE2 instructionsMemory: 1.5 GB or moreGraphics: ATI Radeon X1800 GTO 256MB and the Nvidia GeForce 6800 Ultra 256MB cards or betterHard Drive: 2 GB HD space,
35725,Minimum:OS: Ubuntu 12.04 LTSProcessor: 2.2 GHz CPUMemory: 1 GBGraphics: ATI Radeon HD 2400 or NVIDIA GeForce 7600 or betterHard Drive: 4.0 GBOpenGL: 2.1,Recommended:OS: Ubuntu 12.04 LTSProcessor: 2.2 GHz CPUMemory: 1 GBGraphics: ATI Radeon HD 2400 or NVIDIA GeForce 7600 or better (OpenGL 2.1 needs to be supported)Hard Drive: 4.0 GBOpenGL: 2.1Additional: Trine 2 runs best with proprietary drivers and may not function correctly with open source drivers.
38700,Processor: Intel Pentium 4 / AMD Athlon XP 1.5 Ghz or higherMemory: 1 GB RAMGraphics: Hardware accelerated graphics card with 128 MB VRAM and working OpenGL 2.1 drivers(*).Hard Drive: 200 MB of free spaceController: Gamepad support (uses: SDL2)*NOTE: Attempts have been made to allow the game to run on OpenGL 1.4or 1.5 so long as the following extensions are available:- ATI_separate_stencil- ARB_vertex_buffer_object- EXT_framebuffer_object or ARB_framebuffer_object,
38720,Processor: Intel(r) Pentium(tm) 4 2.4 GHz or better / AMD Athlon(tm) XP 3000+ or betterMemory: 1 GB RAMGraphics: Hardware accelerated graphics card with 256 MB VRAM and working OpenGL 2.1 drivers(*).Hard Drive: 300 MB HD spaceController: Gamepad support (uses: SDL2)*NOTE: Attempts have been made to allow the game to run on OpenGL 1.4or 1.5 so long as the following extensions are available:- ATI_separate_stencil- ARB_vertex_buffer_object- ARB_shading_language_100- ARB_shader_objects- ARB_vertex_shader- ARB_fragment_shader,
38740,Processor: Intel Pentium 4 / AMD Athlon XP 1.5 Ghz or higherMemory: 1 GB RAMGraphics: Hardware accelerated graphics card with 64 MB VRAM and working OpenGL 2.1 drivers(*).Hard Drive: 150 MB HD spaceController: Gamepad support (uses: SDL2)*NOTE: Attempts have been made to allow the game to run on OpenGL 1.4or 1.5 so long as the following extensions are available:- ATI_separate_stencil- ARB_vertex_buffer_object- ARB_shading_language_100- ARB_shader_objects- ARB_vertex_shader- ARB_fragment_shader,
39800,Minimum:OS:Ubuntu 12.04 LTS fully updatedProcessor: 2.4 GHZ or Equivalent Memory: 2 GB RAM Graphics: Nvidia ATI or Intel GPU with hardware-accelerated drivers,Recommended:OS:Ubuntu 12.04 LTS fully updatedProcessor: 2.4 GHZ or Equivalent Memory: 4 GB RAM Graphics: Nvidia ATI or Intel GPU with hardware-accelerated drivers
40400,OS: Ubuntu 10.10 or later although other unsupported distros may very well workProcessor: 1.6Ghz CPU (2.4 Ghz recommended Dual Core strongly recommended for Host)Memory: 2 GB RAMGraphics: Graphics card must support 1024x1024 textures (most 32MB and up graphics cards do) 1024x768 or greater (32 bit color recommended)Hard Drive: 300MB         Multiplayer: Broadband Internet Connection or LAN required for multiplayer.,
40420,OS: Ubuntu 10.10 or later although other unsupported distros may very well workProcessor: 1.4Ghz CPU minimum 1.8 Ghz recommended for background animation or multiplayer Memory: 1 GB RAM (2 GB recommended) Graphics: 800x600 or greater screen resolution (32 bit color 1280x720 recommended) Hard Drive: 600 MBOther Requirements: Internet Connection or LAN required for networked multiplayer. Single-computer multiplayer is also available.,
40800,OS: If youre running the Steam client youre goodProcessor: 1.4GHz or fasterMemory: 1 GB RAM Graphics: Graphics Card made within the last 4 years (Pixel Shader 3.0 Vertex Shader 3.0)Hard Drive: 300 MB Controller Support: Microsoft Xbox 360 Controller or Direct Input compatible controller,
41070,Minimum:OS: Linux Ubuntu 12.04Processor: Dual-core from Intel or AMD at 2.8 GHzMemory: 2GBGraphics: nVidia GeForce 8600/9600GT ATI/AMD Radeon HD2600/3600 (Graphic drivers: nVidia 310 AMD 12.11)OpenGL: 2.1Hard Drive: 4GB free hard drive spaceSound: OpenAL Compatible Sound Card,Recommended:OS: Linux Ubuntu 12.04Processor: Quad-core from Intel (i5-series) or AMD (Phenom II) at 3.0 GHzMemory: 4GBGraphics: nVidia GeForce 280/460 GTX ATI/AMD Radeon HD 4870/5770 (Graphic drivers: nVidia 310 AMD 12.11)OpenGL: 2.1Hard Drive: 4GB free hard drive spaceSound: OpenAL Compatible Sound Card
41100,OS: Compatible with Ubuntu 11.04Processor: x86 or amd64 2GHzMemory: 256 MbGraphics: Any reasonable GPU supportedHard Drive: 150 MbSound: Any reasonable hardware supported,
41300,Processor: 1.0 GhzMemory: 256 MBGraphics: 64 MB VRAMHard Drive: 300 MB of free spaceOther Requirements:,
41800,,
41900,OS: X11 enabled Linux distroProcessor: Pentium 4 2Ghz / AMD AthlonXP 2400Memory: 512MbGraphics: GeForce FX5700 or better / ATI Radeon 9600 or betterOpenGL: 2.0 compatible video card and compatible driversHard Drive: 3.8GB of free spaceSound: OpenAL compatible sound card and necessary drivers,
44200,OS: Ubuntu 12.04 LTS Mint 13 LTS Fedora 16 fully updatedProcessor: 1 GHz or higherMemory: 128MB RAMGraphics: 128MB OpenGLHard Drive: 50MB of free space,
45100,Minimum:OS: Ubuntu 12.04 or laterProcessor: Any processor with 2 CoresMemory: 512 MB System MemoryGraphics: ATI or Nvidia Video Card with with at least 256 MB VRAM Hard Drive: 350 MB Free Harddrive Space,Recommended:OS: Ubuntu 12.04 or laterProcessor: Any processor with 2 CoresMemory: 1 GB System MemoryGraphics: ATI or Nvidia Video Card with with at least 512 MB VRAM Hard Drive: 350 MB Free Harddrive Space
45450,,
