ID,MinReqsText,RecReqsText
280,Minimum: 1.2 GHz Processor 256MB RAM DirectX 7 level graphics card Windows XP Mouse Keyboard Internet ConnectionRecommended: 2.4 GHz Processor 512MB RAM DirectX 9 level graphics card Windows XP Mouse Keyboard Internet Connection,
300,Minimum: 1.7 GHz Processor 512MB RAM DirectX® 8.1 level Graphics Card (Requires support for SSE) Windows® 7 (32/64-bit)/Vista/XP Mouse Keyboard Internet ConnectionRecommended: Pentium 4 processor (3.0GHz or better) 1GB RAM DirectX® 9 level Graphics Card Windows® 7 (32/64-bit)/Vista/XP Mouse Keyboard Internet Connection,
320,Minimum: 1.2 GHz Processor 256MB RAM DirectX 7 level graphics card Windows XP Mouse Keyboard Internet ConnectionRecommended: 2.4 GHz Processor 512MB RAM DirectX 9 level graphics card Windows XP Mouse Keyboard Internet Connection,
340,Minimum: Pentium 4 2.4GHz or AMD 2800+ Processor 1GB RAM DirectX 9 level graphics card Windows XP Mouse Keyboard Internet Connection,
360,Minimum:OS: Windows(r) 7 (32/64-bit)/Vista/XPProcessor: 1.7 GHz Processor requires support for SSEMemory: 1024 MB RAMDirectX: Version 8.1Network: Broadband Internet connectionStorage: 4 GB available space,
380,Minimum: 1.7 GHz Processor 512MB RAM DirectX® 8.1 level Graphics Card (Requires support for SSE) Windows® 7 (32/64-bit)/Vista/XP Mouse Keyboard Internet ConnectionRecommended: Pentium 4 processor (3.0GHz or better) 1GB RAM DirectX® 9 level Graphics Card Windows® 7 (32/64-bit)/Vista/XP Mouse Keyboard Internet Connection,
400,Minimum: 1.7 GHz Processor 512MB RAM DirectX® 8.1 level Graphics Card (Requires support for SSE) Windows® 7 (32/64-bit)/Vista/XP Mouse Keyboard Internet ConnectionRecommended: Pentium 4 processor (3.0GHz or better) 1GB RAM DirectX® 9 level Graphics Card Windows® 7 (32/64-bit)/Vista/XP Mouse Keyboard Internet Connection,
420,Minimum: 1.7 GHz Processor 512MB RAM DirectX® 8.1 level Graphics Card (Requires support for SSE) Windows® 7 (32/64-bit)/Vista/XP Mouse Keyboard Internet ConnectionRecommended: Pentium 4 processor (3.0GHz or better) 1GB RAM DirectX® 9 level Graphics Card Windows® 7 (32/64-bit)/Vista/XP Mouse Keyboard Internet Connection,
440,Minimum:OS: Windows(r) 7 (32/64-bit)/Vista/XPProcessor: 1.7 GHz Processor or betterMemory: 512 MB RAMDirectX: Version 8.1Network: Broadband Internet connectionStorage: 15 GB available spaceAdditional Notes: Mouse Keyboard,Recommended:OS: Windows(r) 7 (32/64-bit)Processor: Pentium 4 processor (3.0GHz or better)Memory: 1 GB RAMDirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 15 GB available spaceAdditional Notes: Mouse Keyboard
500,Minimum:                    Supported OS: Windows(r) 7 32/64-bit / Vista 32/64 / XP                    Processor: Pentium 4 3.0GHz                     Memory: 1 GB                    Graphics: 128 MB Shader model 2.0 ATI 9600 NVidia 6600 or better                     Hard Drive: At least 7.5 GB of free space                    Sound Card: DirectX 9.0c compatible sound card,Recommended:                    Supported OS: Windows(r) 7 32/64-bit / Vista 32/64 / XP                    Processor: Intel core 2 duo 2.4GHz                    Memory: 1 GB                     Graphics: Shader model 3.0 NVidia 7600 ATI X1600 or better
550,Minimum:OS: Windows(r) 7 32/64-bit / Vista 32/64 / XPProcessor: Pentium 4 3.0GHzMemory: 2 GB RAMGraphics: Video card with 128 MB Shader model 2.0. ATI X800 NVidia 6600 or betterDirectX: Version 9.0cStorage: 13 GB available spaceSound Card: DirectX 9.0c compatible sound card,Recommended:OS: Windows(r) 7 32/64-bit / Vista 32/64 / XPProcessor: Intel core 2 duo 2.4GHzMemory: 2 GB RAMGraphics: Video Card Shader model 3.0. NVidia 7600 ATI X1600 or betterDirectX: Version 9.0cStorage: 13 GB available spaceSound Card: DirectX 9.0c compatible sound card
570,Minimum:OS: Windows 7 or newerProcessor: Dual core from Intel or AMD at 2.8 GHzMemory: 4 GB RAMGraphics: nVidia GeForce 8600/9600GT ATI/AMD Radeon HD2600/3600DirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 15 GB available spaceSound Card: DirectX Compatible,
620,Minimum:OS: Windows 7 / Vista / XPProcessor: 3.0 GHz P4 Dual Core 2.0 (or higher) or AMD64X2 (or higher)Memory: 2 GB RAMGraphics: Video card must be 128 MB or more and with support for Pixel Shader 2.0b (ATI Radeon X800 or higher / NVIDIA GeForce 7600 or higher / Intel HD Graphics 2000 or higher).DirectX: Version 9.0cStorage: 8 GB available spaceSound Card: DirectX 9.0c compatible,
630,Minimum:OS: Windows(r) 7 / Vista / Vista64 / XPProcessor: Pentium 4 3.0GHzMemory: 1 GB for XP / 2GB for VistaGraphics: DirectX 9 compatible video card with 128 MB Shader model 2.0. ATI X800 NVidia 6600 or betterHard Drive: At least 2.5 GB of free spaceSound: DirectX 9.0c compatible sound card,Recommended:OS: Windows(r) 7 / Vista / Vista64 / XPProcessor: Intel core 2 duo 2.4GHzMemory: 1 GB for XP / 2GB for VistaGraphics: DirectX 9 compatible video card with Shader model 3.0. NVidia 7600 ATI X1600 or betterHard Drive: At least 2.5 GB of free spaceSound: DirectX 9.0c compatible sound card
730,Minimum:OS: Windows(r) 7/Vista/XPProcessor: Intel(r) Core(tm) 2 Duo E6600 or AMD Phenom(tm) X3 8750 processor or betterMemory: 2 GB RAMGraphics: Video card must be 256 MB or more and should be a DirectX 9-compatible with support for Pixel Shader 3.0DirectX: Version 9.0cStorage: 8 GB available space,
1002,Minimum: Pentium3 800 MHz (or compatible) 256 MB RAM GeForce 2 (or compatible) Windows 98 Internet connection for SteamWill be choppy with 8 AI players or in a big online game. Multi mice will only work with Windows XPRecommended: Pentium4 1500 MHz (or compatible) 512MB RAM DirectX 9 compatible graphics card Windows XP Internet connection for SteamWill work fine with most DirectX 9 compatible graphics cards.,
1200,Minimum:OS: Windows XPProcessor: 1.2 GHZ or EquivalentMemory: 512 MB RAMGraphics: 64 MB DX9 CompliantHard Drive: 2 GB free hard drive spaceSound:DX 8.1 Compatible Audio,Recommended:OS: Windows XPProcessor: 2.4 GHZGraphcis: 128 MB DX9 Compliant with PS 2.0 supportHard Drive: 2 GB free hard drive spaceSound Card: Eax Compatible
1250,Minimum:                    OS: Windows XP/Vista                    Processor: 1.2 GHZ or Equivalent                    Memory: 1 GB RAM                    Graphics: 64 MB DX9 Compliant                    Hard Drive: 2 GB free hard drive space                    Sound: DX 8.1 Compatible Audio,Recommended:                    OS: Windows XP/Vista                    Processor: 2.4 GHZ or Equivalent                    Memory: 2 GB RAM                    Graphics: 128 MB DX9 Compliant with PS 2.0 support                    Hard Drive: 2 GB free hard drive space                    Sound: Eax Compatible
1300,Minimum: 1.2 GHz Processor 256MB RAM DirectX 7 level graphics card Windows XP Mouse Keyboard Internet ConnectionRecommended: 2.4 GHz Processor 512MB RAM DirectX 9 level graphics card Windows XP Mouse Keyboard Internet Connection,
1500,Recommended: Windows XP 600MHz CPU 128MB RAM DX7 based video card,
1510,,
1520,Recommended: Windows XP P3-600-Geforce 2 128 Mb RAM 60 Mb Hard Disk Internet connection for multiplayer games,
1530,Supported OS: Windows XP or VistaProcessor: 2.0 GHz CPUMemory: 512 MB RAMGraphics: GeForce 6200 or RADEON 9600 seriesHard Drive: 64 MB free space,
1600,Minimum: Windows XP 550Mhz CPU 128 MB RAM D3D Video Card with 32MB RAM (DirectX 9.0b drivers) DX9 Sound Card 590MB hard drive space Internet or LAN connection for multiplayerRecommended: 1GHz+ CPU 256 MB RAM D3D Video Card with 64MB RAM (with DirectX 9.0b compatible drivers) 1GB hard-drive space,
1610,Minimum: Pentium Processor; Windows XP; 128MB RAM; 800x600 screen resolution; 16bit colour; 300 MB hard drive space; DirectX 8.1 or higher Windows Compatible Sound Card.,
1620,Minimum Configuration: Windows 95/98 Pentium 133 Mhz 32 MB RAM minimum 373 MB free hard drive space Microsoft® compatible mouse SVGA Graphics Adapter DirectX compatible sound card,
1630,Minimum Configuration: Windows XP Pentium II 233 Mhz 32 Mb RAM 1200 MB hard disk space DirectX 7.1 16-bit sound card Video Card with 8 MB RAM             Recommended Configuration: Windows XP Pentium II 300 Mhz 64 MB RAM 1400 MB hard disk space DirectX 7.1 16-bit sound card Video Card with 16 MB RAM,
1640,Minimum Configuration: Windows XP Pentium II 233 Mhz 32 Mb RAM 1200 MB hard disk space DirectX 7.1 16-bit sound card Video Card with 8 MB RAM             Recommended Configuration: Windows XP Pentium II 300 Mhz 64 MB RAM 1400 MB hard disk space DirectX 7.1 16-bit sound card Video Card with 16 MB RAM,
1670,Minimum System Requirements: Windows XP 1Ghz Athlon or Pentium III CPU 256MB RAM; DirectX 9.0 Compatible Video Card (ex: Geforce 2/4MX or Radeon 7500) DirectX 9.0 Compatible Sound Card 2 Gigabyte free space on Hard drive DirectX 9.0c,
1690,Minimum System Requirements: Pentium 500MHz or better class machine Windows XP 64 megabytes RAM or better 1024x768 or better screen resolution 16 bit color display or better DirectX 7.0 (or better) A video card with 3D acceleration 500 megs hard drive space A sound card capable of supporting MP3 and DirectSound playback. Sound card must be DirectX 7.0 (or better) compatible.,
1700,Minimum: Windows XP 500 MHz Pentium ® III or compatible 64 MB RAM  DirectX 8 or higher DirectX 8 compatible sound- and graphics card with 16 MB 750 MB fixed disksRecommended: 900 MHz Pentium ® III or compatible 256 MB RAM  DirectX 8 or higher DirectX 8 compatible sound- and graphics card with 32MB 750 MB fixed disks,
1840,Minimum:OS: Windows 7 / Vista (Windows 7 64 bit suggested)Processor: 3.0 GHz P4 Dual Core 2.0 (or higher) or AMD64X2 (or higher)Memory: 2GB (4 GB suggested)Graphics: NVIDIA GeForce 200 series card or better or AMD Radeon 3000 series or better (NVIDIA GeForce 400 series or AMD Radeon 5000 series preferred)Monitor: 1366 x 768 (1920 x 1080 suggested)Hard Drive: At least 15 GB of SpaceSound: DirectX 9.0c compatible USB headset with mic (suggested),
1900,Minimum: Windows XP / Vista / 7 / 8Intel/AMD Single Core CPU with 2.0 GHz1 GB RAMDirectX 9.0 compatible graphics card with 128 MB RAMDirectX compatible sound card2.0 GB free disk spaceBroad band Internet connectionKeyboard and Mouse,Recommended: Windows XP / Vista / 7 / 8Intel/AMD Core Duo CPU with 2.0 GHz2 GB RAMGraphics Card with Shader 2.0 support and 256 MBDirectX compatible sound card2.5 GB free disk spaceBroad band Internet connectionKeyboard and Mouse
1930,Minimum:OS: Windows XP / Vista / 7 / 8Processor: Dual Core CPU 2.0 GHz Memory: 1 GB Graphics: GeForce FX 6 7 and 8 series AMD/ATI Radeon X-series with Shader 2.0b supportHard Drive: 6 GB Free SpaceSound: DirectX 9.0c compatibleMisc: Keyboard Mouse Broadband Internet Connection,Recommended:OS: Windows XP SP2 / Vista / 7 / 8Processor: Intel/AMD Multicore CPUMemory: 2 GBGraphics: with Per-Pixel-Shader 3.0 supportHard Drive: 7 GB Free SpaceSound: 5.1Misc: Keyboard Mouse Broadband Internet Connection
2100,Minimum: AMD Athlon™ Pentium® 2.4 GHz 512MB RAM 128MB video card 7GB HDD Space Windows XP Mouse Keyboard Internet ConnectionRecommended: AMD Athlon™ Pentium® 3.0 GHz 256mb dx9 video card 7GB HDD Space Windows XP Mouse Keyboard Internet Connection,
2200,3-D Hardware Accelerator with full OpenGL® support Pentium® 233 Mhz MMX®processor with 8 MB Video Card or Pentium II 266 Mhz processor with 4 MB Video Card or AMD® 350 Mhz K6®-2 processor with 4 MB Video Card 64 MB RAM a 100% Windows® XP/Vista compatible computer system (including compatible 32-bit drivers for video card sound card and input devices) 25 MB of uncompressed hard disk space for game files (Minimum Install) plus 45 MB for the Windows swap file 100% DirectX 3.0 or higher compatible sound card 100% Microsoft-compatible mouse and driver joystick (optional),
2210,Operating System: Windows(r) XP Processor: Intel(r) Pentium(r) 4 2.0 GHz or AMD(r) Athlon(r) XP 2000+ processor or higherMemory: 512MB RAMHard Disk Space: 2.8GB of uncompressed free hard disk space (plus 400MB for Windows(r) swap file)Video: 100% DirectX(r) 9.0c compatible 64MB 3D hardware accelerated video card requiredSound: 100% DirectX(r) 9.0c compatible 16-bit sound card and latest driversDirectX(r) Version: 9.0c,
2270,Minimum: A 100% Windows XP/Vista-compatible computer system,
2280,Minimum: A 100% Windows XP/Vista-compatible computer system,
2290,Minimum: A 100% Windows XP/Vista-compatible computer system,
2300,Minimum: A 100% Windows XP/Vista-compatible computer system,
2310,Minimum: A 100% Windows XP/Vista-compatible computer system,
2320,Minimum: A 100% Windows XP/Vista-compatible computer system,
2330,Minimum: A 100% Windows XP/Vista-compatible computer system,
2340,Minimum: A 100% Windows XP/Vista-compatible computer system,
2350,3-D Hardware Accelerator with full OpenGL® support Pentium II(R) 300 Mhz or AMD® 350 Mhz K6®-2 processor or Athlon® processor Windows 2000/XP/Vista operating system 64 MB RAM 16 MB video card 400 MB of uncompressed hard disk space for each game 100 MB of free hard drive space for the Windows swap file (in addition to install space) a 100% Windows® 2000/XP-compatible computer system (including compatible 32-bit drivers for video card sound card and input devices) 100% DirectX 3.0 or higher compatible sound card 100% Microsoft-compatible mouse and driver,
2360,Minimum: A 100% Windows XP/Vista-compatible computer system,
2370,Minimum: A 100% Windows XP/Vista-compatible computer system,
2390,Minimum: A 100% Windows 2000/XP/Vista-compatible computer system,
2400,Minimum: 1.8 GHz Processor 512MB RAM DirectX 8 level graphics card (1024x768) Windows 2000/XP/ME/98 Mouse Keyboard Internet Connection DirectX 9.0cRecommended: 2.8 GHz Processor 1024MB RAM DirectX 9 capable Graphics Card (1024x768) Windows 2000/XP/ME/98 Mouse Keyboard Internet Connection DirectX 9.0c,
2420,Minimum: 1.8 GHz Processor 512MB RAM DirectX 8 level graphics card (1024x768) Windows 2000/XP/ME/98 Mouse Keyboard Internet Connection DirectX 9.0cRecommended: 2.8 GHz Processor 1024MB RAM DirectX 9 capable Graphics Card (1024x768) Windows 2000/XP/ME/98 Mouse Keyboard Internet Connection DirectX 9.0c,
2450,MinimumOS: Microsoft Windows XP SP2 / Vista SP1 (32bit) / Windows 7 (32bit)Processor: Pentium 4 3.0GHz Dual CoreMemory: 1 GBGraphics: 128 MB Shader model 2.0 ATI 9600 NVidia 6600 or betterDirectX®: DirectX 9.0cHard Drive: 2 GB freeSound: DirectX 9.0c compatible sound cardPeripherals: PS2/USBFor 6-8 player multiplayer matches the Recommended System Requirements are strongly suggested.Internet (TCP/IP) and LAN (TCP/IP) play supported. Internet play requires broadband connection and latest drivers. LAN play requires network interface card and latest drivers.,RecommendedOS: Microsoft Windows XP SP2 / Vista SP1 (32bit) / Windows 7 (32bit)Processor: Pentium 4 3.0GHz Dual CoreMemory: 2 GBGraphics: 256 MB Shader model 3.0 ATI X1600 NVidia 7600 or betterDirectX®: DirectX 9.0cHard Drive: 2 GB freeSound: DirectX 9.0c compatible sound cardPeripherals: PS2/USB
2500,Minimum: 1.3 GHZ or Equivalent 384 MB RAM GeForce 4 Ti 4200* or ATi Radeon 9000 or better 1 GB free hard drive space Windows 2000/XPRecommended: 2.0 GHz 512 MB RAM GeForce FX 5900 Ultra or ATi Radeon 9500 Pro or better* Please note that Shadowgrounds does not run on GeForce 4 MX cards.,
2520,Minimum: Windows 2000/XP SP2 1 GHz Processor 256 MB System RAM 32 MB OpenGL 3D Video Card 50 MB Available hard disk space DirectX 8.0 or higherRecommended: 1.6 GHz Processor GeForce 5200 / Radeon 9600 or better video card,
2540,Minimum: Windows XP/2000 1 GHz Processor 256 MB RAM 128 MB 3D Video Card DirectX 9.0c 50 MB of available Hard Disk Space,
2570,Windows XP/2000 1.2 GHz Processor 256 MB RAM 128 MB DirectX compatible 3D graphics card DirectX compatible sound card DirectX 9.0 255 MB of available Hard Disk Space,
2590,Supported OS: Windows(r) 2000/XP/VistaProcessor: 2.0 GHz Processor Memory: 512 MB RAM Graphics: DirectX compatible 128 MB graphics card DirectX Version: DirectX(r) 9.0cSound: DirectX compatible sound cardHard Drive: 3 GB Hard Drive space,
2600,Required:3D hardware accelerator card required - 100% DirectX(r) 9.0c-compatible 64MB video card and drivers1.2 GHz Athlon(tm) or 1.2 GHz Pentium(r) III processor or higher384MB of RAM (512MB of RAM recommended)Microsoft(r) Windows(r) 98/ME/2000/XP*3.3 GB of uncompressed hard disk space for game files and saved games (plus 1.4 GB for Windows(r) swap file)100% DirectX(r) 9.0-compatible 16-bit sound card and drivers100% Windows(r) 98/ME/2000/XP-compatible mouse keyboard and driversDirectX(r) 9.0c* Does not support Windows XP 64Supported Chipsets for 98/ME/200/XP:All ATI(r) Radeon(r) ChipsetsAll NVIDIA(r) GeForce(tm) ChipsetsMatrox(r) Parhelia(tm) Chipset,
2610,Minimum 3D hardware accelerator card required - 100% DirectX(R) 9.0c-compliant 32 MB Hardware T&L - capable video card and the latest drivers* English version of Microsoft(R) Windows(R) 2000/XP Pentium(R) III 1.8 GHz or Athlon(TM) XP 1800+ or higher processor 256 MB of RAM 2.8 GB of uncompressed hard disk space (plus 320 MB for the Windows swap file) A 100% Windows 2000/XP-compatible computer system including: DirectX 9.0c (Included) 100% DirectX 9.0c-compliant true 16-bit sound card and drivers 100% Windows 2000/XP-compatible mouse keyboard and drivers 100% Windows 2000/XP-compatible gamepad (optional) (Game controller with 10 or more buttons and dual analog thumb sticks required) *Supported Chipsets for Windows 2000/XPNVIDIA® GeForce™ 3/Ti seriesNVIDIA® GeForce™ 4/Ti seriesNVIDIA® GeForce™ FX 5700 and later seriesNVIDIA® GeForce™ 6800 and laterATI® Radeon™ 8500ATI® Radeon™ 9000ATI® Radeon™ 9600ATI® Radeon™ 9800 and later*Important Note:  Some 3D accelerator cards with the chipsets listed here may not be compatible with the 3D  acceleration features utilized by GUN.  Please refer to your hardware manufacturer for 100%  DirectX 9.0c compatibility.,
2620,Minimum: OS: Windows 98 / ME / 2000 / XPProcessor: Pentium III 600 MHz or Athlon 600 MHz processor or higher for systems with Windows 98/ME Pentium III 700 MHz or Athlon 700 MHz processor or higher for systems with Windows 2000 / XPMemory: 128 MBGraphics: 3D hardware accelerator card required - 100% DirectX 9.0b compatible 32 MB hardware T&L-capable video card and latest drivers*DirectX: Version 9.0b (included)Network: Storage: 1.4 GB of uncompressed free hard disk space (plus 400 MB for Windows 98/ME swap file 600 MB for Windows 2000 / XP swap file)Sound Card: 100% DirectX 9.0b compatible 16-bit sound card and latest driversAdditional Notes: 100% Windows 98/ME/2000/XP compatible mouse keyboard and latest driversMulti-player Requirements:Internet (TCP/IP) and LAN (TCP/IP) play supportedInternet play requires 56kbps (or faster) modem and latest driversLAN play requires network interface card and latest driversImportant Notice: *Some 3D accelerator cards with the chipset listed here may not be compatible with the 3D acceleration features utilized by Call of Duty. Please refer to your hardware manufacturer for 100% DirectX 9.0b compatibility.*Supported ChipsetsAll ATI Radeon cardsAll nVidia GeForce cardsMatrox Parhelia,
2630,Minimum: 3D hardware accelerator card required - 100% DirectX 9.0c compatible 64MB hardware accelerator video card and the latest drivers* Microsoft Windows 2000/XP Pentium IV 1.4GHz or AMD Athlon XP 1700+ processor or higher 256MB RAM (512MB RAM recommended) 100% DirectX 9.0c compatible 16-bit sound card and latest drivers 100% Windows 2000/XP compatible mouse keyboard and latest drivers 4.0GB of uncompressed free hard disk space (plus 600MB for Windows 2000/XP swap file)Multi-player Requirements:Internet (TCP/IP) and LAN (TCP/IP) play supportedInternet play requires broadband connection and latest driversLAN play requires network interface card and latest driversImportant Notice: *Some 3D accelerator cards with the chipset listed here may not be compatible with the 3D acceleration features utilized by Call of Duty. Please refer to your hardware manufacturer for 100% DirectX 9.0c compatibility.Supported ChipsetsATI Radeon 8500ATI Radeon 9000ATI Radeon 9200ATI Radeon 9500ATI Radeon 9600ATI Radeon 9700ATI Radeon 9800ATI Radeon X300ATI Radeon X550ATI Radeon X600ATI Radeon X700ATI Radeon X800ATI Radeon X850nVidia GeForce 2 UltraAll nVidia GeForce 3/Ti SeriesAll nVidia GeForce 4/Ti SeriesAll nVidia GeForce FX SeriesAll nVidia GeForce 6 SeriesRecommend nVidia GeForce 7 Series or higher,
2640,Minimum: Full Version of original Call of Duty 3D hardware accelerator card required - 100% DirectX 9.0c compatible 32MB hardware T&L-capable video card and the latest drivers* Microsoft Windows 2000/XP Pentium III 800MHz or Athlon 800MHz processor or higher 128MB RAM (256MB Recommended) 1150MB of uncompressed free hard disk space (plus 600MB for Windows 2000/XP swap file) 100% DirectX 9.0c compatible 16-bit sound card and latest drivers 100% Windows 2000/XP compatible mouse keyboard and latest drivers DirectX 9.0c (included)Multi-player Requirements:Internet (TCP/IP) and LAN (TCP/IP) play supportedInternet play requires 56kbps (or faster) modem and latest driversLAN play requires network interface card and latest driversImportant Notice: *Some 3D accelerator cards with the chipset listed here may not be compatible with the 3D acceleration features utilized by Call of Duty United Offensive. Please refer to your hardware manufacturer for 100% DirectX 9.0c compatibility.Supported ChipsetsAll ATI Radeon cardsAll nVidia GeForce cardsMatrox Parhelia,
2700,Minimum: Supported OS: Windows 2000/XPProcessor: Pentium(r) III 733 MHz or compatible (Pentium(r) 4 1.2 GHz or compatible recommended)Memory: 128 MB RAM; 256 MB for XP (256 MB; 384 MB for XP recommended)Graphics: Any ATI Radeon(tm) or GeForce(tm) 2 with 32MB or higher; or other video card with 32MB and hardware T&L (ATI Radeon(tm) 64 MB SDR or GeForce(tm) 2 Pro or other video card with 64 MB or more memory and hardware T&L recommended)*DirectX Version: DirectX(r) version 9 (included) or higherSound: Windows(r) 2000/XP-compatible 16-bit sound card*Hard Drive: 600 MB free* Indicates device should be compatible with DirectX(r) version 9.0b or higher.,
2710,Minimum: Supported OS:Windows 2000/XPProcessor: Pentium 4 1.5 GHz or equivalent (3.0 GHz recommended)Memory: 256 MB RAM (512 MB recommended)Graphics: 64 MB Hardware T&L-compatible video card (256 MB recommended)Sound: DirectX(r) version Windows 2000/XP-compatible sound cardHard Drive: 3 GB free HD space * Broadband connection required for online multiplayer play,
2720,Minimum: Windows 2000/XP/Vista DirectX9.0c or higher Graphics Accelerator with 32-bit color support (DirectX9-Supported Accelerator recommended) 1.0GHz or faster processor 256MB of RAM 400MB of hard disk space,
2780,Minimum: Supported OS: Windows XPProcessor: 2 GHz or better Intel or AMD processor or equivalent. Game is functional on but currently not optimized for Dual-core CPUs.  Memory: 512 MB of RAMGraphics: nVidia Geforce FX with 128 MB RAM & Pixel Shader 2.0 or better ATI Radeon 9500 with 128 MB of RAM Pixel Shader 2.0 or betterDirectX Version: DirectX 9.0cHard Drive: 3 GB of free space Recommended: Processor: 3 GHz or better Intel or AMD processor or equivalent. Game is functional on but currently not optimized for Dual-core CPUs.Memory: 1 GB of RAMGraphics: nVidia 6800 or better with at least 256 MB of onboard RAM ATI X800 or better with at least 256 MB of onboard RAM,
2800,OS: Windows 10 / 8 / 7 / Vista / XP / 2000 / ME / 98SEProcessor: Pentium III 800MHz or same gradeMemory: 256MB RAMGraphics: 32MB 3D card compatible with Direct X 8.1DirectX(r): 8.1Hard Drive: 1200MB available spaceSound:,
2810,OS: Windows 10 / 8 / 7 / Vista / XP / 2000 / ME / 98SEProcessor: Pentium IV 1.7GHz or same gradeMemory: 512MB RAMGraphics: 128MB 3D card compatible with Direct X 9DirectX(r): 9Hard Drive: 4.5GB available space,
2820,Minimum:OS: Windows 10 / 8 / 7 / Vista SP1 / XP SP2Processor: Pentium(r) IV or AMD(r) equivalent at 2.0 GHzMemory: 1 GB RAMGraphics: 256 MB 3D DirectX 9 Compatible video card (not onboard) with Pixel Shader 1.1 supportHard Drive: 10GB of free spaceSound: Soundcard (Surround Sound support recommended),Recommended:OS: Windows 10 / 8 / 7 / Vista SP1Processor: Intel(r) Core(tm) 2 Duo or AMD(r) equivalent at 2.0 GHzMemory: 3 GB RAMGraphics: 256 MB 3D DirectX 9 Compatible video card (not onboard) with Pixel Shader 3.0 supportHard Drive: 10GB of free spaceSound: Soundcard (Surround Sound support recommended)
2840,Minimum:OS: Windows 95 or higherProcessor: Pentium II 200 MHzMemory: 32 MB RAMGraphics: 4 MB DirectX-compliant video cardDirectX(r): DirectX 7.0 or higherHard Drive: 360 MB hard-disk spaceSound: DirectX-compliant sound card,
2850,Minimum:OS: Windows 95 or higherProcessor: Pentium II 200 MHzMemory: 32 MB RAMGraphics: 4 MB DirectX-compliant video cardDirectX(r): DirectX 7.0 or higherHard Drive: 400 MB hard-disk spaceSound: DirectX-compliant sound card,
2870,Minimum:OS: Windows 10 (64-bit) Windows 8 (64-bit) Windows 7 SP1 (64-bit) Vista SP2 (64-bit) XP SP3 (64-bit)Processor: Intel i-Series at 2GHz or AMD equivalentMemory: 4 GB RAMGraphics: Nvidia GT400 series with 512MB RAM or better ATI 4870HD with 512MB RAM or betterDirectX: Version 9.0cStorage: 8 GB available spaceSound Card: DirectX 9.0c Compatible Sound Card,Recommended:OS: Windows 10 (64-bit) Windows 8 (64-bit) Windows 7 SP1 (64-bit)Processor: Intel i5 (Quad) or i7 at 2.5GHz or AMD equivalentMemory: 8 GB RAMGraphics: Nvidia GT500 series with 1GB RAM or better ATI 5870HD with 1GB RAM or betterDirectX: Version 9.0cStorage: 12 GB available spaceSound Card: DirectX 9.0c Compatible Sound Card
2900,Recommended: Windows 2000/XP Pentium III 256MB RAM 1.5G Hard drive space 32MB video card (Nvidia Geforce or ATI Radeon) DirectX 8.1 compatible sound card,
2910,Recommended: Windows 2000/XP Pentium III 256MB RAM 1.5G Hard drive space 32MB video card (Nvidia Geforce or ATI Radeon) DirectX 8.1 compatible sound card,
2920,Recommended: Windows 2000/XP Pentium III 256MB RAM 1.5G Hard drive space 32MB video card (Nvidia Geforce or ATI Radeon) DirectX 8.1 compatible sound card,
