ID,MinReqsText,RecReqsText
2820,Minimum:OS: 10.7 (Lion) Processor: Pentium(r) IV or AMD(r) equivalent at 2.0 GHzMemory: 1 GB RAM Graphics: 256MB OpenGL 2.0+ discrete NVIDIA/AMD card or Intel Core i7-2620MHard Drive: 10GB of free space,Recommended:OS: 10.8 (Mountain Lion)Processor: Intel(r) Core(tm) 2 Duo or AMD(r) equivalent at 2.0 GHzMemory: 3 GB RAMGraphics: 512MB OpenGL 3.0+ discrete NVIDIA/AMD cardHard Drive: 10GB of free space
2870,Minimum:OS: OS X 10.9 MavericksProcessor: Intel i-Series at 2GHz or AMD equivalentMemory: 8 GB RAMGraphics: Intel Iris ProStorage: 8 GB available spaceSound Card: OpenAL Soft compatibleAdditional Notes: OpenGL version 4.2,Recommended:OS: OS X 10.10 YosemiteProcessor: Intel i5 (Quad) or i7 at 2.5GHz or AMD equivalentMemory: 12 GB RAMGraphics: Nvidia GT750M Nvidia GT600 series with 1 GB RAM or better AMD 6850HD with 1 GB RAM or betterStorage: 12 GB available spaceSound Card: OpenAL Soft compatibleAdditional Notes: OpenGL version 4.2
3170,OS: Mac OSX 10.6 or higher                Processor:  Intel Core Duo Processor (2GHz or better)                Memory: 1 GB                Hard Disk Space: 3.02 GB                                 Video Card: ATI or NVIDIA video card with at least 256Mb VRAM Additional: 15 or larger display is recommended,
3300,OS: OS X version Leopard 10.5.8 Snow Leopard 10.6.3 or laterProcessor: G4 G5 or Intel Core DuoMemory: 256 MB RAMInternet: Internet connection is required to register both the download and back-up CD-ROM version of the game,
3310,OS: OS X version Leopard 10.5.8 Snow Leopard 10.6.3 or laterProcessor: G4 G5 or Intel Core DuoMemory: 256 MB RAMInternet: Internet connection is required to register both the download and back-up CD-ROM version of the game,
3330,OS: Mac OS X 10.3.9-10.6.xProcessor: G4 G5 or Intel Core Duo Memory: 256MB of RAM,
3480,OS: OS X version Leopard 10.5.8 Snow Leopard 10.6.3 or laterProcessor: Intel Core 2 Duo 1.66Memory: 512 MB of RAMOther Requirements:,
3540,OS: OS X version Leopard 10.5.8 Snow Leopard 10.6.3 or laterProcessor: Intel Core Duo 1.66 GHzMemory: 512 MB RAMInternet: Internet connection is required to register both the download and back-up CD-ROM version of the game,
3590,OS: Mac OS X 10.5.8-10.6.x                    Processor: Intel Core Duo 1.66GHz+                    Memory: 1GB of RAM                    Graphics: 64MB of video memory 16-bit or 32-bit color quality                    Hard Drive: 50+MB of free hard drive space                    Sound: Standard audio,
3600,OS: OS X version Leopard 10.5.8 Snow Leopard 10.6.3 or laterProcessor: Intel Core Duo 1.66+ GHzMemory: 512+ MB RAMInternet: Internet connection is required to register both the download and back-up CD-ROM version of the game,
3830,OS: Snow Leopard 10.6.8 or later.Processor: Intel Core Duo Processor Memory: 2 GB of RAM Graphics: ATI X1600 / NVIDIA 8600GT / Intel HD3000 or better card with at least 128 MB VRAMHard Drive: 4GB minimum hard drive spaceControls: Keyboard and MouseLeopard is not supported,OS: Snow Leopard 10.6.8 or later.Processor: Intel Core i Series Processor Memory: 4 GB RAM Graphics: ATI HD 3870 / Nvidia 8800GT or better with at least 512 MB VRAMHard Drive: 4GB minimum hard drive spaceControls: Game Pad (optional)Leopard is not supported
3900,Recommended:OS: OSX 10.7.5 or newerProcessor: Intel chipsetCPU Speed: 2.0 GHzMemory: 512 MB RAMHard Disk Space: 3.5 GB free disk spaceVideo Card: (ATI): Radeon 9600 Video Card (NVidia): GeForce FX 5200 Video Memory: (VRam): 128 MB RAMMultiplayer: Internet (TCP/IP) and LAN (TCP/IP) play supported. Internet play requires broadband connection.Media Required: DVD Drive Supported Video cards: NVIDIA GeForce 5200 6600 6800 7800 ATI Radeon 9600 9650 9700 9800 X600 X800 X850 X1600NOTICE: This game is not supported on volumes formatted as Mac OS Extended (Case Sensitive).,
3990,Recommended:OS: Mac OS X 10.4 10.5 and 10.6Processor: PowerPC G5 or IntelCPU Speed: 2.0 GHzMemory: 1GB or higherHard Disk Space: 3.5 GB free disk spaceVideo Card: (ATI): Radeon 9600 Video Card (NVidia): GeForce FX 5200Video Memory: (VRam): 128 MBMultiplayer: Internet (TCP/IP) and LAN (TCP/IP) play supported. Internet play requires broadband connection.Media Required: CD DriveNOTICE: Apple original CPUs only CPU upgrades not supported. NOTICE: Intel integrated video chipsets (GMA 950) are not supported. Supported Video cards: NVIDIA GeForce 5200 6600 6800 7300 7800 ATI Radeon 9600 9650 9700 9800 X600 X800 X1600 X1900REQUIRED: FULL VERSION OF Civilization IV for Mac OS X TO PLAY,
4000,Minimum:OS: OS X version Snow Leopard 10.6.3Processor: 1.8 GHz ProcessorMemory: 2 GB RAMGraphics: NVIDIA GeForce 8 or higher ATI X1600 or higher or Intel HD 3000 or higherNetwork: Broadband Internet connectionStorage: 5 GB available spaceAdditional Notes: Mouse Keyboard Monitor,Recommended:Processor: 2.5 GHz Processor or betterMemory: 8 GB RAMGraphics: 1GB dedicated VRAM or betterNetwork: Broadband Internet connectionStorage: 10 GB available space
4700,OS: 10.10.5Processor: 1.8 GHz RAM: 4 GB Graphics: 256 MB Mac OS: 10.10.5 Hard Disk: 32 GB Input: Keyboard & MouseThe following graphics cards are not supported: ATI X1xxx series ATI HD2xxx series Intel GMA series NVIDIA 7xxx series and NVIDIA 8xxx series.,OS: 10.11.2Processor: 2.4 GHz RAM: 4 GB Graphics: 512 MB Mac OS: 10.11.1 Hard Disk: 32 GB Input: Multi-button MouseThe following graphics cards are not supported: ATI X1xxx series ATI HD2xxx series Intel GMA series NVIDIA 7xxx series and NVIDIA 8xxx series.
4780,OS: 10.10.5Processor: 1.8 GHz RAM: 4 GB Graphics: 256 MB Mac OS: 10.10.5 Hard Disk: 32 GB Input: Keyboard & MouseThe following graphics cards are not supported: ATI X1xxx series ATI HD2xxx series Intel GMA series NVIDIA 7xxx series and NVIDIA 8xxx series.,OS: 10.11.2Processor: 2.4 GHz RAM: 4 GB Graphics: 512 MB Mac OS: 10.11.1 Hard Disk: 32 GB Input: Multi-button MouseThe following graphics cards are not supported: ATI X1xxx series ATI HD2xxx series Intel GMA series NVIDIA 7xxx series and NVIDIA 8xxx series.
6010,Minimum:OS: Mac OS X version 10.5 (or newer)Processor: Intel ProcessorCPU Speed: 1.8 GHzMemory: 128 MB RAMHard Disk Space: 2 GB free disk space,Recommended:OS: Mac OS X version 10.5 (or newer)Processor: Intel Dual Core ProcessorCPU Speed: 2 GHzMemory: 1 GB RAMHard Disk Space: 2 GB free disk space
6020,OS: 10.8.5 (Mountain Lion) 10.9.5 (Mavericks) 10.10.5 (Yosemite) 10.11.1 (El Capitan)Processor: Intel Core 2 Duo (Dual-Core) 2.2 GHzMemory: 4 GBGraphics: 256 MB (NVidia): Geforce 8800 (ATI): Radeon HD 2600 (Intel): HD 3000Hard Drive: 2 GBPeripherals: Macintosh mouse and keyboardNOTICE: The following video chipsets are unsupported by Jedi AcademyIntel Integrated GMA 950/X3100 ATI RADEON HD 2400NOTICE:This game is not supported on volumes formatted as Mac OS Extended (Case Sensitive),
6030,OS: Mac OS X 10.8.5 (Mountain Lion) 10.9.5 (Mavericks) 10.10.5 (Yosemite) 10.11.1 (El Capitan)                Processor: 1.8 GHZ Intel chipset or faster                Memory: 512 MB or higher                 Hard Disk Space:  1 GB                                 Video Card: ATI Radeon X1600 / NVidia Geforce 7300 / Intel HD 3000 (128 MB VRAM or higher) Languages: English French and German        Additional: Intel integrated video chipsets are not supported (GMA 950/X3100). This game is not supported on volumes formatted as Mac OS Extended (Case Sensitive),
6040,Minimum:OS: Mac OS X version 10.5 (or newer)Processor: Intel ProcessorCPU Speed: 1.8 GHzMemory: 128 MB RAMHard Disk Space: 2 GB free disk space,Recommended:OS: Mac OS X version 10.5 (or newer)Processor: Intel Dual Core ProcessorCPU Speed: 2 GHzMemory: 1 GB RAMHard Disk Space: 2 GB free disk space
6120,Minimum:OS:OS X 10.6.6 or laterHard Drive:1.5 GB HD space,
7520,Minimum:OS: OS X Snow Leopard 10.6.3 or later.Processor: Intel Mac (20 GHz)Memory: 2 GB RAM Graphics: Shader 4.0 and 512 MB RAM Hard Drive: 8 GB hard drive spaceOther: Internet connection for MultiplayerPeripherals: Mouse Keyboard,Recommended:OS: OS X Snow Leopard 10.6.3 or later.Processor: Multi-Core CPUMemory: 4 GB RAMGraphics: Radeon HD 2900 Geforce 8800 GTXHard Drive: 8 GB hard drive spaceOther: Internet connection with 6.000 BPS for MultiplayerPeripherals: Mouse Keyboard
7530,Minimum:OS: OS X version Snow Leopard 10.6.3Processor: Intel Mac 2.0GHzMemory: 1 GB RAMHD Space: 300 MB HDD Video Card: Per-Pixel Shader 2.0 and 128 MBMisc:Sound Card DSL/ADSL Internet Connection,Recommended:OS: OS X version Snow Leopard 10.7.x or laterProcessor: Intel Mac 2.0 GHz Core DuoMemory: 2 GB RAMHD Space: 500 MB HDD Video Card: with Shader 2.0 support and 256 MBMisc:Sound Card DSL/ADSL Internet Connection
7940,Minimum: Supported OS:  10.8.5 (Mountain Lion) 10.9.5 (Mavericks) 10.10.5 (Yosemite) 10.11.1 (El Capitan)CPU Processor: Intel Core 2 Duo (Dual-Core)CPU Speed: 2.2 GHzMemory: 1 GB RAMHard Disk Space: 8 GB + 1 GB Swap FileGraphics: NVIDIA Geforce 7300 or better or ATI Radeon X1600Video Memory: 128 MB VRamNote: Intel Integrated GMA 950 and Intel Integrated X3100 are unsupported video chipsets,
8000,Minimum: OS: 10.9.5Processor: 1.8 GHz RAM: 4 GB Graphics: 256 MB Mac OS: 10.9.5 Hard Disk: 5 GB Input: Keyboard & MouseThe following graphics cards are not supported: ATI X1xxx series and Intel GMA series.,Recommended:OS: 10.10.5Processor: 2.4 GHz RAM: 4 GB Graphics: 512 MB Mac OS: 10.10.5 Hard Disk: 5 GB Input: GamepadThe following graphics cards are not supported: ATI X1xxx series and Intel GMA series.
8260,OS: OS X 10.5 or laterProcessor: Intel Core 2 DuoMemory: 256MB of RAMGraphics: Not Recommended For: Macs with integrated graphics,
8270,OS: OS X 10.5 or laterProcessor: Intel Core 2 DuoMemory: 256MB of RAMGraphics: Not Recommended For: Macs with integrated graphics,
8280,OS: OS X 10.5 or laterProcessor: Intel Core 2 DuoMemory: 256MB of RAMGraphics: Not Recommended For: Macs with integrated graphics,
8290,OS: OS X 10.5 or laterProcessor: Intel Core 2 DuoMemory: 256MB of RAMGraphics: Not Recommended For: Macs with integrated graphics,
8300,OS: OS X 10.5 or laterProcessor: Intel Core 2 DuoMemory: 256MB of RAMGraphics: Not Recommended For: Macs with integrated graphics,
8340,Minimum:OS: Leopard (10.5.8)Processor: 2.0 GHz Intel or equivalentMemory: 2 GB RAMGraphics: ATI or NVidia card w/ 256 MB RAMHard Drive: 2 GB Space FreeNot recommended for MAC Minis or early-generation MacBooks,Recommended:OS: Snow Leopard (10.6.4)Processor: 2.3 GHz Intel or equivalentMemory: 4 GB RAMGraphics: ATI or NVidia card w/ 512 MB RAMHard Drive: 2 GB Space FreeNot recommended for MAC Minis or early-generation MacBooks
8500,Minimum: Supported OS: Mac OS X 10.9 10.10 10.11Processor: CPU that supports SSE2 (Intel Dual Core @ 2.0 GHz)Memory: 2 GBHard Drive: 20 GB Free Space  Video: NVIDIA GeForce 320m Intel HD 3000,Recommended: OS: Mac OS X 10.9 10.10 10.11Processor: Intel i7 Series @ 3.0 GHz or greaterMemory: 8 GB or higherHard Drive: 20 GB free space Video: NVIDIA GeForce 675mx or better with at least 1 GB VRAM
8800,Recommended:OS: Mac OS X 10.4.11 10.5.6Processor: PowerPC G5 or IntelCPU Speed: 2.0 GHzMemory: 1 GBHard Disk Space: 2.5 GB free disk spaceVideo Card: (ATI): Radeon 9600 Video Card (NVidia): GeForce FX 6600Video Memory: (VRam): 128 MB or higherMedia Required: DVD-ROM DrivePeripherals: Macintosh mouse and keyboardSupported Video Cards: NVIDIA GeForce 6600 6800 7300 7600 7800 8600 8800 9400 9600 GEFORCE GT 120 GEFORCE QUADRO FX 4500 ATI Radeon 9600 9650 9700 9800 X600 X800 X1600 X1900 HD 2400 2600 3870NOTICE: Intel integrated video chipsets are not supported.NOTICE: Apple original CPUs only CPU upgrades not supportedNOTICE: This game is not supported on volumes formatted as Mac OS Extended (Case Sensitive) REQUIRES THE FULL VERSION OF Civilization IV for Mac OS X TO PLAY,
8850,Minimum:OS: 10.9.5Processor: 2 GHzMemory: 4GBGraphics: 256 MB The following graphics cards are not supported: ATI X1xxx series ATI HD2xxx series Intel GMA series NVIDIA 7xxx series and NVIDIA 9400.Hard Drive: 18GB,Recommended:OS: 10.10.5Processor: 2.4 GHzMemory: 4GBGraphics: 512 MB The following graphics cards are not supported: ATI X1xxx series ATI HD2xxx series Intel GMA series NVIDIA 7xxx series and NVIDIA 9400.Hard Drive: 18GB
8870,Minimum:OS: 10.8 (Mountain Lion) 10.9 (Mavericks) 10.10 (Yosemite)                Processor: 2.2 GHz Intel Core 2 Duo (Dual-Core)                Memory: 4 GB RAM                Hard Disk Space: 30 GB                Video Memory: 512 MB                Video Card: ATI Radeon HD 3870 / NVidia Geforce 640M / Intel HD4000                Additional: BioShock Infinite supports both the Microsoft Xbox 360 wired gamepad and the PlayStation 3 Dualshock 3 Wireless Controller in addition to the Macintosh mouse and keyboard               NOTICE: This game is not supported on volumes formatted as Mac OS Extended (Case Sensitive)        NOTICE: The following video chipsets are unsupported for BioShock Infinite: ATI RADEON 2000 series HD 4670 HD 6490M and 6630M NVIDIA 9000 series 320M 330M Intel HD 3000 Intel Integrated GMA chipsets and 3100        NOTICE: The Mac version of Bioshock Infinite is available in English French Italian German and Spanish only.,Recommended:OS: 10.10 (Yosemite)                Processor: 2.2 GHz Intel Core 2 Duo (Dual-Core)                Memory: 4 GB RAM                Hard Disk Space: 30 GB                Video Memory: 512 MB                Video Card: ATI Radeon HD 5870 / NVidia Geforce GTX 775M
8930,Minimum:OS: 10.8.5 (Mountain Lion) 10.9.5 (Mavericks) 10.10.5 (Yosemite) 10.11.1 (El Capitan)Processor: Intel Core 2 Duo (Dual-Core) CPU Speed: 2.4 GHzMemory: 2 GB RAM Hard Disk Space: 8 GB Video Card (ATI): Radeon HD 2600Video Card (NVidia): Geforce 8600Video Card (Intel): HD 4000Video Memory (VRam): 256MBMultiplayer: Internet (TCP/IP) and LAN (TCP/IP) play supported.  Please note it is possible for Mac and PC to become out of sync during updates.  Within this short time period Mac users will only be able to play other Mac users.NOTICE:This game is not supported on volumes formatted as Mac OS Extended (Case Sensitive)NOTICE: The following video chipsets are not supported for Civilization V:ATI Radeon X1000 series HD 2400Nvidia GeForce 7000 series 8600 9400Intel GMA (950/X3100) HD 3000,Recommended:Processor: Intel Quad CoreMemory: 4GBCPU Speed: 2.4 GHzVideo RAM: 1GB
9500,OS: OS X version Leopard 10.5.8 Snow Leopard 10.6.3 or later.Processor: Intel Core Duo 1.66GHz+Memory:  1GB of RAMGraphics: 64MB of video memoryHard Drive: 200+MB of free hard drive spaceSound: Standard audio,
10180,Operating System: 10.9.5 (Mavericks) 10.10 (Yosemite)CPU Processor: Intel i3 (Dual-Core)CPU Speed: 2.2GHzMemory: 4 GB RAMHard Disk Space: 13 GBVideo Card (ATI): Radeon HD 4850Video Card (NVidia): Geforce 640MVideo Card (Intel): IrisVideo Memory (VRam): 512 MBPeripherals: Macintosh mouse and keyboardIMPORTANT NOTICE: Currently MW2 for Mac may not be accessible to users in Russia Poland and JapanNOTICE: The following video chipsets are unsupported for Call of Duty(r): Modern Warfare(r) 2:*ATI RADEON HD 2000 Series*ATI RADEON HD 6490M 6630M 3870*NVIDIA 9000 Series*NVIDIA 320M 330M*Intel HD 3000 4000 5000NOTICE: This game is not supported on volumes formatted as Mac OS Extended (Case Sensitive),
10500,Minimum:OS: 10.8.5Processor:2.0 GHzMemory:4GB MemoryGraphics:256MB*Hard Drive:20GB HD spaceOther Requirements: The following graphics cards are not supported: ATI X1xxx series Intel GMA series and NVIDIA 7xxx series.,Recommended:OS: 10.9.3Processor:2.4 GHzMemory:4GB MemoryGraphics:512GB*Hard Drive:20GB HD spaceOther Requirements: The following graphics cards are not supported: ATI X1xxx series Intel GMA series and NVIDIA 7xxx series.
11200,OS: Mac OS X 10.6.5 or newer - Unfortunately OS X 10.9 or newer NOT supportedProcessor: Intel MacMemory: 1 GB RAMHard Disk Space: 1GBVideo Card: : OpenGL 2.0 compatible video card with 256 MB shared or dedicated RAM (ATI or NVIDIA)*DirectX(r): 9.0Additional: Keyboard+mouse or Keyboard+trackpad*Please be advised that the game does not run on Intel graphics solutions (such as Macbooks from 2006-2008 and the new MacBook Pro 13 models from 2011). The game does run on most Macs from 2009 onwards that have a distinct graphics chip (such as those with NVIDIA GeForce 9400M but graphics details need to be turned down for smooth gameplay).,
11280,Operating System: OS X 10.10                   Processor: 1.5 GHz Processor                     Memory: 512 MB RAM                                     Graphics: integrated or dedicatedHard Disk Space: 50 MB Hard Drive Space,
11360,Minimum:OS: OS X version Leopard 10.5.8 Snow Leopard 10.6.3 or laterMemory: 256 MB RAMGraphics: 128 MB graphics cardHard Drive: 60 MB of hard disk space,
11450,MINIMUMOS: Mac OS X 10.9 or laterProcessor: IntelMemory: 4GBHard Disk Space: 4.5 GB FreeMultiplayer is no longer available,
12100,OS: Mac OS X Snow Leopard 10.6.8 or higherProcessor: Intel Core 2 Duo Processor or betterMemory: 1GB of RAMHard Disk Space: 1.5GB of free hard disk space Video Card: ATI X1600 NVIDIA 7300GT Intel X3100 integrated graphics chip or betterAdditional: This game will NOT run on PowerPC (G3/G4/G5) based Mac systems (PowerMac),
12110,OS: Mac OS X Snow Leopard 10.6.8 or higherProcessor: Intel Core 2 Duo Processor or betterMemory: 1GB of RAMHard Disk Space: 1.7GB of free hard disk space Video Card: ATI X1600 NVIDIA 7300GT Intel X3100 integrated graphics chip or betterAdditional: This game will NOT run on PowerPC (G3/G4/G5) based Mac systems (PowerMac),
12120,OS: Mac OS X Snow Leopard 10.6.8 or higherProcessor: Intel Core 2 Duo Processor or betterMemory: 1GB of RAMHard Disk Space: 5.2GB of free hard disk space Video Card: ATI X1600 NVIDIA 7300GT Intel X3100 integrated graphics chip or betterAdditional: This game will NOT run on PowerPC (G3/G4/G5) based Mac systems (PowerMac),
12710,MINIMUMOS: Mac OS X 10.9 or laterProcessor: IntelMemory: 4GBHard Disk Space: 4.5 GB FreeMultiplayer is no longer available,
12810,MINIMUMOS: Mac OS X 10.9 or laterProcessor: IntelMemory: 4GBHard Disk Space: 5 GB FreeMultiplayer is no longer available,
15400,OS: OS X version Leopard 10.5.8 or later.Processor: 1.6 GHzMemory: 512 MB RAMHard Disk Space: 180 MBVideo Card: 3D accelerated graphics card Open GL compliant,
15560,OS: OS X version Leopard 10.5.8 Snow Leopard 10.6.3 or later.Processor: Dual CoreMemory: 1GBHard Disk Space:  2GBVideo Card: 3D card with 512MB,
15970,OS: Mac OS X version 10.5Processor: Intel ProcessorMemory: 256 MB RAMVideo Memory: (VRAM) 32 MB,
16620,OS: OS X version Leopard 10.5.8 Snow Leopard 10.6.3 or later.Processor: Any Intel CPUMemory: 512 MBGraphics: Intel GMA 950 or betterHard Drive: 250 MB,
